684,E 20 St & 2 Ave,401,1
200,St James Pl & Oliver St,306,1
376,W 18 St & 6 Ave,357,1
554,Lafayette St & E 8 St,519,1
822,E 31 St & 3 Ave,411,1
952,Lispenard St & Broadway,325,2
1734,Front St & Gold St,481,1
336,Forsyth St & Canal St,307,1
845,Flushing Ave & Carlton Ave,307,1
399,2 Ave & E 31 St,504,1
373,S 4 St & Wythe Ave,539,2
1293,Hudson St & Reade St,523,1
398,W 4 St & 7 Ave S,300,1
345,S 4 St & Wythe Ave,539,1
1677,Lafayette Ave & Classon Ave,399,2
792,Barrow St & Hudson St,237,1
242,St Marks Pl & 2 Ave,504,1
535,W 4 St & 7 Ave S,238,1
830,Lexington Ave & E 26 St,394,1
286,Park Pl & Church St,426,1
996,W 46 St & 11 Ave,127,1
384,E 13 St & Avenue A,266,2
933,9 Ave & W 18 St,474,1
931,Barrow St & Hudson St,537,1
379,E 19 St & 3 Ave,432,1
420,Washington St & Gansevoort St,127,1
1118,Elizabeth St & Hester St,487,1
512,2 Ave & E 31 St,297,1
246,Lexington Ave & E 24 St,475,1
468,Broadway & E 14 St,470,1
459,Allen St & E Houston St,394,2
412,W 56 St & 6 Ave,2021,1
370,Lafayette St & E 8 St,394,1
141,W 22 St & 10 Ave,453,1
494,Forsyth St & Broome St,356,2
770,Greenwich St & Warren St,350,1
1141,W 25 St & 6 Ave,308,2
538,E 7 St & Avenue A,361,1
1040,W 46 St & 11 Ave,405,1
537,E 10 St & 5 Ave,462,1
435,E 3 St & 1 Ave,325,1
293,Madison St & Montgomery St,393,1
357,Lafayette St & E 8 St,345,1
738,Clinton St & Grand St,236,2
328,E 6 St & Avenue B,401,1
349,Allen St & E Houston St,237,1
697,W 47 St & 10 Ave,485,1
534,W 33 St & 7 Ave,518,2
560,W 20 St & 7 Ave,485,1
366,2 Ave & E 31 St,325,2
353,2 Ave & E 31 St,325,1
828,E 7 St & Avenue A,223,1
421,Mercer St & Bleecker St,380,1
311,Lafayette St & E 8 St,503,1
